no,org_name,logo,cat,minis,y,diff_90,diff_00,diff_01,diff_14,diff_19,diff_20,diff_34,diff_49,diff_57,90_b4_mili,90_b4_total,94_aft_mili,94_aft_total,00_b4_mili,00_b4_total,00_aft_mili,00_aft_total,01_b4_mili,01_b4_total,01_aft_mili,01_aft_total,14_b4_mili,14_b4_total,14_aft_mili,14_aft_total,19_b4_mili,19_b4_total,19_aft_mili,19_aft_total,20_b4_mili,20_b4_total,20_aft_mili,20_aft_total,34_b4_mili,34_b4_total,34_aft_mili,34_aft_total,49_b4_mili,49_b4_total,49_aft_mili,49_aft_total,57_b4_mili,57_b4_total,57_aft_mili,57_aft_total
46,องค์การจัดการน้ำเสีย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/wa.jpg,สาธารณูปการ,กระทรวงมหาดไทย,2538,na,na,na,na,na,na,na,20.00%,25.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,7,1,4
47,องค์การตลาด,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/aq5.jpg,อุตสาหกรรมและพาณิชยกรรม,กระทรวงมหาดไทย,2496,na,-5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,-7.14%,-14.29%,0,0,0,0,1,18,0,11,0,11,0,15,0,15,0,10,0,10,0,6,0,6,0,8,0,10,0,10,1,14,0,14,2,14,0,8
48,องค์การตลาดเพื่อเกษตรกร,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/ff.jpg,เกษตร,กระทรวงเกษตรและสหกรณ์,2517,na,na,na,na,0.00%,16.67%,0.00%,0.00%,2.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,6,1,6,0,6,0,7,0,6,0,7,1,7,1,6
49,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/w1.jpg,สังคมและเทคโนโลยี,กระทรวงวิทยาศาสตร์และเทคโนโลยี,2538,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,5,0,6
50,องค์การเภสัชกรรม,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/s1.jpg,สังคมและเทคโนโลยี,กระทรวงสาธารณสุข,2509,na,na,na,0.55%,0.00%,0.00%,0.00%,0.00%,16.67%,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,13,0,11,0,10,0,10,0,10,0,9,0,10,0,14,0,11,0,10,2,12
51,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/qq.jpg,เกษตร,กระทรวงเกษตรและสหกรณ์,2514,na,na,na,0.00%,0.00%,0.00%,0.00%,0.00%,-25.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,4,0,4,0,3,0,3,0,4,1,4,0,4
52,องค์การสวนพฤกษศาสตร์,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/503.JPG,ทรัพยากรธรรมชาติ,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,2535,na,na,na,na,na,na,na,0.00%,14.29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,9,1,7
53,องค์การสวนสัตว์,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/605.jpg,ทรัพยากรธรรมชาติ,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,2497,na,0.00%,9.09%,0.00%,0.00%,20.00%,0.00%,0.00%,17.50%,0,0,0,0,1,11,1,11,1,11,2,11,0,9,0,9,0,9,0,9,0,9,2,10,0,11,0,11,1,10,1,10,1,8,3,10
54,องค์การสะพานปลา,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/sw.jpg,เกษตร,กระทรวงเกษตรและสหกรณ์,2496,na,0.00%,-14.29%,14.29%,0.00%,0.00%,14.29%,14.29%,-2.38%,0,0,0,0,1,7,1,7,1,7,0,7,0,7,1,7,0,7,0,7,0,7,0,7,0,7,1,7,0,6,1,7,1,6,1,7
55,องค์การสุรา กรมสรรพสามิต,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/spi.jpg,อุตสาหกรรมและพาณิชยกรรม,กระทรวงการคลัง,2506,na,na,na,na,na,na,na,na,10.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10
56,องค์การอุตสาหกรรมป่าไม้,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/aw.jpg,ทรัพยากรธรรมชาติ,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,2499,na,75.00%,na,na,0.00%,0.00%,-16.67%,77.78%,0.00%,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,2,6,1,6,2,9,3,3,1,3,2,6
